,url,title,subtitle,working_hours,address,rating_score,rating_note
0,/tierarzt/dortmund/juri-betcher,Juri Betcher,Kleintierpraxis,"Heute: 09:00–12:00, 15:00–19:00","Steinkühlerweg 84, 44263 Dortmund",5,16 Empfehlungen
1,/tierarzt/berlin/efrat-bahat-treidel,Efrat Bahat-Treidel,Tierarztpraxis Treidel,Heute: 15:00–19:00,"Hugo Cassirer Str.38 / Sigmund - Bergmann Str. 10, 13587 Berlin",5,15 Empfehlungen
2,/tierarzt/berlin/laura-broschek-und-sven-stahlhut,Laura Broschek und Sven Stahlhut,Tierarztpraxis Am Westend,"Heute: 10:00–13:00, 17:00–19:00","Sophie-Charlotten-Str. 22, 14059 Berlin",5,15 Empfehlungen
3,/tierarzt/berlin/dr-michael-foerster,Dr. Michael Foerster,,"Heute: 10:00–12:00, 17:00–19:00","Birkenstr. 58, 10559 Berlin",5,14 Empfehlungen
4,/tierarzt/hamburg/dr-med-vet-christoph-kotzian,Dr. med. vet. Christoph Kotzian,,Heute: 08:00–20:00,"Alsterdorfer Straße 255a, 22297 Hamburg",5,13 Empfehlungen
5,/tierarzt/berlin/gesina-krebber,Gesina Krebber,Tierarztpraxis Hinter der Mühle,"Heute: 09:00–12:00, 16:00–20:00","Rudolf-Filter-Weg 4, 12685 Berlin",5,13 Empfehlungen
6,/tierarzt/hannover/juergen-poetter-und-eva-kirsch,Jürgen Pötter und Eva Kirsch,,"Heute: 10:00–12:00, 16:00–19:00","Kopernikusstr. 4a, 30167 Hannover",5,12 Empfehlungen
7,/tierarzt/hamburg/dr-med-vet-maria-steigmann,Dr. med. vet. Maria Steigmann,VetZentrum Praxis für Kleintiere,"Heute: 09:00–13:00, 15:00–20:00","Wentorfer Str. 101, 21029 Hamburg",5,12 Empfehlungen
8,/tierarzt/oberursel--taunus-/dr-med-vet-michael-streicher,Dr. med. vet. Michael Streicher,Tierärztliche Praxis für Katzen,Heute: 08:00–18:00,"Fischbachstraße 10a, 61440 Oberursel (Taunus)",5,12 Empfehlungen
9,/tierarzt/hamburg/ragna-windisch,Ragna Windisch,,Heute: 09:00–15:00,"Berner Heerweg 110, 22159 Hamburg",5,12 Empfehlungen
